ell_x,ell_y,ell_w,ell_h,ell_a,score,hue_scaled,area,volume,roundness
1036.3373080889385,832.0272113482157,75.00635528564453,77.59432093302408,35.51750564575195,0.9998670816421508,120.80507865776984,4571.0700929111645,232482.6896782939,0.9666474863590422
1171.4036836624146,1212.0457248687744,86.92698287963867,88.80610466003418,74.29679870605469,0.999865174293518,142.49384055632189,6062.996371194156,355136.0522667929,0.978840173346313
1307.8609708150227,760.1603444417318,77.24786122639975,85.51994323730469,116.1967544555664,0.999843955039978,140.42602460357418,5188.523035277711,281144.3913606817,0.903273064763956
1167.4122064113617,738.5808725357056,77.32960319519043,81.6743631362915,98.56623077392578,0.999840497970581,140.28262371675277,4960.4539213891785,262812.44698776543,0.9468038711994498
1018.859637260437,896.911638379097,82.34913611412048,87.00770831108093,58.91638946533203,0.999822735786438,139.7492120927388,5627.385392100146,317558.53415238805,0.9464579370335264
877.1053109169006,1415.1165641943614,89.12592919667563,90.98652529716492,171.4327392578125,0.999808669090271,128.51537947483328,6368.996819976562,382358.1470728436,0.9795508610268112
485.93514919281006,1270.4069175720217,73.97806549072266,77.26375007629395,70.49514770507812,0.999802589416504,142.3937298660711,4489.196700524886,226264.6732875552,0.9574744355234266
1411.1741434733074,1206.6497065226238,81.57235463460287,84.01610056559245,73.86190795898438,0.9997895956039428,37.010177130202095,5382.640822531545,297068.7039377604,0.9709133616706987
1131.5553307533264,1055.0276929537456,87.79018942515056,93.17648013432822,30.15590476989746,0.9997763633728028,130.4525524116141,6424.541929117439,387370.9529794157,0.942192593008316
1173.007755915324,1094.989533106486,69.85617033640543,70.87331326802571,54.04306411743164,0.9997684359550476,138.5145993928596,3888.4578038977215,182402.1218262543,0.9856484354305026
1407.6057176589966,427.9318052927653,84.97400410970053,88.7583662668864,117.82266998291016,0.9997496604919434,121.04946943007997,5923.593726820272,342958.5995179108,0.957363318903294
1277.644625902176,668.0630292892456,87.57065844535828,89.46815395355225,84.64157104492188,0.9997459650039672,140.7532676085878,6153.425868682794,363110.8780613811,0.9787913863833708
1376.8972080548604,1823.465112924576,78.22387456893921,82.3623456954956,167.0013427734375,0.9997419118881226,116.25014209864426,5060.086160164117,270770.0766995997,0.9497528744281172
791.6309337615967,1429.7579860687256,70.93599700927734,73.58608818054199,15.415728569030762,0.9997256398200988,144.633794577945,4099.701861039118,197465.9472302504,0.9639865192349578
1487.1656062602997,1174.374015728633,29.040811856587727,31.480239868164062,98.81167602539062,0.9997244477272034,36.78652120058888,718.0202083668105,14473.341232557292,0.9225092304953074
1370.500391960144,552.9544076919556,83.75123596191406,87.374436378479,121.30762481689452,0.9997201561927797,134.03483324051183,5747.32152204348,327764.59582398494,0.9585324888292228
1201.6621573766072,827.7734084924062,83.91849279403687,86.6644074122111,54.02952575683594,0.999711811542511,140.3820700987407,5712.001703837956,324747.85615687585,0.9683155438297344
488.7953751881917,1134.2262296676636,74.7818110783895,79.31569004058838,22.508729934692383,0.9996861815452576,140.6722275673151,4658.487849119641,239183.5188056724,0.9428375525715182
1137.891534805298,1138.683359305064,78.98727448781332,82.63361485799155,77.53968048095703,0.9996809363365172,130.8053908000492,5126.296968781363,276101.9300047139,0.9558734012006546
527.3756562868754,1337.6576362848282,62.82210040092469,68.13972679773967,156.40493774414062,0.9996704459190368,88.68296686790055,3362.0388055647245,146645.21042784365,0.9219599689238646
1493.8187792301178,507.744500875473,85.57104349136353,91.43061876296996,144.36402893066406,0.9996464848518372,123.34790093870978,6144.808718013667,362348.4039093989,0.9359123305640408
427.358335018158,1308.742730776469,67.19507280985513,68.41685485839844,38.95587921142578,0.9996438026428224,143.80890489183176,3610.691768600087,163210.99938888385,0.9821420898246198
517.2313320239385,1030.3585629463196,72.14114268620808,72.63583834966023,16.004579544067383,0.9996405243873596,139.09004869426502,4115.5118062289885,198609.29879501427,0.993189372151654
1364.095913887024,1582.417040983836,78.15834188461304,80.7617998123169,16.8169002532959,0.9996404647827148,130.05054340233633,4957.596853670373,262585.4219493263,0.96776374556097
1512.7373065948486,1431.9037952423096,65.14819598197937,66.45300316810608,21.31833267211914,0.9996363520622252,126.65627784785696,3400.218986198214,149150.30037907622,0.9803649628471126
1448.949876387914,593.0376365979513,71.6181382338206,73.71994026501973,151.42562866210938,0.9996352195739746,80.26864523341297,4146.654802170294,200867.9395886536,0.9714893687699252
1582.0617594718933,1451.8906745910645,80.65424696604411,85.23063882191977,117.68724060058594,0.999608278274536,142.3599237160699,5398.994259204131,298423.55441177473,0.946305789571312
1475.818000793457,940.5148836771648,87.15417162577312,90.46384239196776,91.82785034179688,0.9996061325073242,125.61782669986756,6192.315718089329,366558.6198637356,0.963414435218722
1431.918677330017,873.2681831121445,75.29098987579346,78.71237993240356,18.600854873657227,0.9995940923690796,120.84361414079213,4654.531054345235,238878.8494136505,0.9565330122205894
1061.111952106158,725.2862060467402,69.89445066452026,72.30981047948201,82.66913604736328,0.9995906352996826,127.8586380486567,3969.445107181479,188130.19301284835,0.9665970661664628
1577.862896680832,1247.188023408254,70.79846866925558,73.51108479499817,170.77734375,0.999582290649414,143.49568538504616,4087.5829338023054,196591.0155369848,0.9630992232898302
1167.8230244716008,630.036800702413,65.31059503555298,67.33848730723062,128.09852600097656,0.99957537651062,33.562494289409585,3454.1156791859166,152710.57676399333,0.9698850931648432
817.8587646484375,1326.991067012151,66.79943521817526,68.98241090774536,23.04696655273437,0.9995716214179992,91.36040371167364,3619.1038109674455,163781.69495352794,0.96835460429921
